16,16,16,0 Black,CM 4-Point Saturation (75AMP)
235,235,235,100 White,
180,123,123,25 Red,
180,90,90,50 Red,
180,64,64,75 Red,
180,16,16,100 Red,
141,180,141,25 Green,
108,180,108,50 Green,
77,180,77,75 Green,
16,180,16,100 Green,
141,141,180,25 Blue,
108,108,180,50 Blue,
77,77,180,75 Blue,
16,16,180,100 Blue,
156,180,180,25 Cyan,
130,180,180,50 Cyan,
97,180,180,75 Cyan,
16,180,180,100 Cyan,
180,150,180,25 Magenta,
180,121,180,50 Magenta,
180,88,180,75 Magenta,
180,16,180,100 Magenta,
180,180,150,25 Yellow,
180,180,121,50 Yellow,
180,180,88,75 Yellow,
180,180,16,100 Yellow,
