16,16,16,0 Black,CM 5-Point Saturation (75AMP)
235,235,235,100 White,
180,132,132,20 Red,
180,101,101,40 Red,
180,80,80,60 Red,
180,58,58,80 Red,
180,16,16,100 Red,
147,180,147,20 Green,
121,180,121,40 Green,
97,180,97,60 Green,
71,180,71,80 Green,
16,180,16,100 Green,
147,147,180,20 Blue,
121,121,180,40 Blue,
97,97,180,60 Blue,
71,71,180,80 Blue,
16,16,180,100 Blue,
161,180,180,20 Cyan,
141,180,180,40 Cyan,
117,180,180,60 Cyan,
88,180,180,80 Cyan,
16,180,180,100 Cyan,
180,156,180,20 Magenta,
180,132,180,40 Magenta,
180,110,180,60 Magenta,
180,82,180,80 Magenta,
180,16,180,100 Magenta,
180,180,156,20 Yellow,
180,180,132,40 Yellow,
180,180,108,60 Yellow,
180,180,82,80 Yellow,
180,180,16,100 Yellow,
